State,Crop,Season,Soil_Type,Soil_Quality_Score,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha,Rainfall_mm,Normal_Rainfall_mm,Rainfall_Deviation_Pct,Temperature_C,Fertiliser_Kg_Ha,Irrigation,Insurance_Claim
Andhra Pradesh,Cotton,Zaid,Black,4,40.21,124.02,3.084,945.1,813.3,16.2,39.2,311.2,0,0
Haryana,Maize,Rabi,Laterite,2,26.71,138.74,5.194,774.0,882.3,-12.27,21.7,62.6,0,0
Karnataka,Pulses,Zaid,Laterite,2,34.38,141.49,4.115,808.3,719.2,12.38,21.2,385.1,0,0
Madhya Pradesh,Sugarcane,Kharif,Red,3,31.33,146.74,4.684,1043.0,1000.3,4.27,21.8,127.7,0,0
Andhra Pradesh,Sugarcane,Rabi,Laterite,2,8.07,22.15,2.746,672.1,822.5,-18.28,29.5,92.5,1,0
West Bengal,Groundnut,Zaid,Red,3,42.32,242.14,5.722,841.9,996.9,-15.55,31.4,379.4,1,0
Punjab,Cotton,Zaid,Alluvial,5,10.19,46.33,4.546,1072.5,889.5,20.57,23.4,340.7,1,0
Andhra Pradesh,Cotton,Rabi,Red,3,46.65,145.03,3.109,1057.4,661.0,59.98,27.9,317.7,1,0
Karnataka,Bajra,Zaid,Red,3,12.9,40.42,3.132,494.9,556.8,-11.1,28.4,86.7,1,0
Madhya Pradesh,Soybean,Zaid,Laterite,2,36.83,205.99,5.593,646.8,1009.7,-35.95,17.4,332.6,0,1
Haryana,Cotton,Kharif,Alluvial,5,14.59,56.64,3.882,764.1,713.1,7.14,25.3,263.2,1,0
Karnataka,Wheat,Kharif,Sandy,1,16.23,73.55,4.532,1003.5,835.4,20.12,22.2,306.2,1,0
Karnataka,Soybean,Kharif,Sandy,1,15.85,48.88,3.085,737.2,759.6,-2.95,16.7,392.3,0,0
Punjab,Wheat,Kharif,Sandy,1,37.52,79.49,2.118,820.7,1051.4,-21.94,27.3,118.1,1,1
Rajasthan,Sugarcane,Kharif,Alluvial,5,28.06,129.59,4.618,1112.6,838.8,32.64,32.1,226.5,1,0
Madhya Pradesh,Soybean,Kharif,Black,4,44.21,178.55,4.039,715.3,643.0,11.26,26.3,313.7,0,0
Maharashtra,Cotton,Rabi,Alluvial,5,15.71,55.11,3.507,1168.3,810.4,44.16,10.6,201.8,0,0
Karnataka,Maize,Kharif,Laterite,2,34.75,143.19,4.12,398.6,1018.7,-60.87,23.3,69.1,1,1
Rajasthan,Groundnut,Zaid,Red,3,37.77,77.11,2.041,701.8,719.5,-2.46,20.6,89.0,1,0
Maharashtra,Wheat,Rabi,Red,3,8.0,39.75,4.97,458.7,615.7,-25.5,36.7,260.7,0,1
Madhya Pradesh,Soybean,Zaid,Laterite,2,20.33,116.71,5.741,829.2,959.5,-13.59,24.0,149.8,1,0
Uttar Pradesh,Cotton,Kharif,Laterite,2,24.4,133.11,5.456,987.7,703.2,40.47,16.3,98.2,1,0
West Bengal,Soybean,Kharif,Red,3,18.11,47.21,2.607,759.7,595.0,27.68,25.7,169.0,0,0
Rajasthan,Cotton,Zaid,Black,4,16.44,49.83,3.03,681.4,708.2,-3.79,29.8,120.3,1,0
Tamil Nadu,Cotton,Zaid,Black,4,34.48,173.84,5.042,460.1,883.3,-47.91,26.6,58.4,1,1
Uttar Pradesh,Cotton,Zaid,Black,4,11.19,44.47,3.976,1220.3,908.0,34.39,21.2,103.1,0,0
West Bengal,Bajra,Rabi,Laterite,2,35.61,133.18,3.74,794.4,901.6,-11.89,23.2,359.1,1,0
Punjab,Groundnut,Kharif,Red,3,46.78,263.55,5.633,687.0,688.2,-0.18,30.6,54.2,0,0
Andhra Pradesh,Maize,Zaid,Red,3,28.48,104.8,3.68,1190.6,977.0,21.86,26.6,320.8,0,0
Haryana,Maize,Kharif,Red,3,30.77,109.98,3.575,712.0,952.5,-25.25,38.2,313.7,0,1
Tamil Nadu,Soybean,Zaid,Alluvial,5,3.91,4.73,1.21,572.4,914.9,-37.43,26.6,247.5,1,1
Punjab,Soybean,Kharif,Alluvial,5,43.29,58.32,1.347,622.4,684.3,-9.04,16.8,123.0,1,0
Madhya Pradesh,Cotton,Rabi,Sandy,1,14.63,15.17,1.037,585.7,752.3,-22.15,24.8,357.3,1,1
Punjab,Bajra,Kharif,Alluvial,5,30.95,172.25,5.566,533.5,892.2,-40.21,22.6,216.3,1,1
Andhra Pradesh,Cotton,Zaid,Black,4,48.97,148.95,3.042,626.6,931.9,-32.76,16.7,110.6,0,1
Madhya Pradesh,Bajra,Kharif,Black,4,29.98,100.21,3.343,1403.7,693.2,102.51,26.8,200.2,1,0
Tamil Nadu,Cotton,Rabi,Black,4,36.37,190.12,5.227,512.5,1107.6,-53.73,23.5,118.2,0,1
Andhra Pradesh,Wheat,Rabi,Black,4,22.54,91.22,4.046,427.0,824.6,-48.22,26.9,181.6,1,1
Maharashtra,Wheat,Kharif,Sandy,1,3.49,14.12,4.048,869.5,987.6,-11.96,37.0,223.8,1,0
Haryana,Sugarcane,Zaid,Black,4,39.98,99.26,2.483,781.0,659.0,18.51,25.2,176.0,0,0
Tamil Nadu,Cotton,Rabi,Laterite,2,2.23,11.54,5.17,965.0,876.3,10.12,32.1,280.0,1,0
Maharashtra,Groundnut,Rabi,Laterite,2,35.18,64.35,1.829,661.5,655.6,0.9,24.9,377.6,1,1
West Bengal,Sugarcane,Kharif,Laterite,2,1.63,2.07,1.266,582.9,868.2,-32.86,28.5,171.9,0,1
Tamil Nadu,Soybean,Rabi,Alluvial,5,43.18,84.56,1.958,1218.4,914.9,33.18,26.7,174.5,1,0
West Bengal,Pulses,Rabi,Red,3,8.3,19.42,2.339,397.1,923.2,-56.99,27.6,308.4,1,1
Madhya Pradesh,Cotton,Zaid,Sandy,1,25.96,62.6,2.412,890.1,734.8,21.14,25.2,235.7,1,0
Maharashtra,Wheat,Zaid,Laterite,2,30.06,130.83,4.353,972.6,572.6,69.84,34.7,200.1,0,0
Haryana,Pulses,Zaid,Laterite,2,23.15,48.36,2.089,1005.4,893.9,12.48,29.8,334.8,1,0
Andhra Pradesh,Bajra,Kharif,Black,4,17.37,76.13,4.383,724.2,785.7,-7.83,26.7,361.9,1,0
Karnataka,Pulses,Rabi,Laterite,2,23.66,34.44,1.456,487.9,785.6,-37.89,31.5,256.7,1,1
Punjab,Groundnut,Kharif,Black,4,15.92,27.63,1.736,1174.9,707.2,66.14,26.8,114.8,1,0
Uttar Pradesh,Cotton,Rabi,Black,4,22.19,78.63,3.544,688.6,837.4,-17.77,32.7,213.2,0,0
Haryana,Maize,Rabi,Red,3,18.27,102.46,5.609,1182.5,844.8,39.97,18.9,226.5,0,0
Maharashtra,Pulses,Rabi,Alluvial,5,28.53,151.13,5.298,892.0,1003.8,-11.13,38.8,201.3,1,0
Karnataka,Maize,Zaid,Black,4,12.28,71.75,5.844,679.0,543.0,25.05,27.0,141.9,0,0
Haryana,Bajra,Kharif,Black,4,49.44,210.23,4.252,898.4,647.1,38.83,19.2,215.3,1,0
Maharashtra,Sugarcane,Kharif,Red,3,25.29,110.76,4.379,1087.7,914.5,18.94,30.5,206.3,0,0
Rajasthan,Maize,Rabi,Black,4,10.11,41.71,4.125,820.5,515.3,59.24,33.8,123.3,0,0
Rajasthan,Sugarcane,Kharif,Sandy,1,24.11,99.21,4.114,615.6,737.1,-16.48,19.9,366.2,0,0
West Bengal,Wheat,Zaid,Alluvial,5,43.39,75.3,1.736,353.1,1201.7,-70.62,23.2,359.9,1,1
Haryana,Cotton,Kharif,Sandy,1,1.58,5.87,3.719,693.9,803.8,-13.67,32.1,315.9,1,0
Rajasthan,Pulses,Rabi,Laterite,2,34.14,100.04,2.93,1001.9,950.4,5.42,29.4,190.3,1,0
Maharashtra,Wheat,Zaid,Alluvial,5,27.62,88.75,3.213,547.4,593.2,-7.72,23.4,179.6,0,0
West Bengal,Wheat,Zaid,Laterite,2,8.89,32.18,3.618,970.3,950.5,2.08,24.5,300.8,0,0
Maharashtra,Jowar,Rabi,Black,4,40.97,67.26,1.642,807.0,788.9,2.3,18.5,262.8,1,0
West Bengal,Rice,Kharif,Red,3,18.76,52.48,2.797,986.4,888.9,10.97,20.1,260.2,1,0
Haryana,Groundnut,Rabi,Sandy,1,15.04,19.82,1.317,215.2,929.0,-76.84,16.0,93.4,0,1
Karnataka,Sugarcane,Kharif,Laterite,2,41.49,244.74,5.898,444.9,768.3,-42.09,23.9,266.4,0,1
Andhra Pradesh,Jowar,Kharif,Black,4,32.11,51.13,1.593,684.4,918.5,-25.49,30.1,365.7,0,1
Tamil Nadu,Rice,Zaid,Sandy,1,44.96,103.09,2.293,1266.6,677.4,86.98,24.4,80.0,1,0
Karnataka,Groundnut,Rabi,Sandy,1,31.68,172.86,5.456,611.4,853.6,-28.37,32.7,168.7,1,1
Madhya Pradesh,Sugarcane,Zaid,Laterite,2,37.17,126.88,3.414,768.3,923.5,-16.81,22.1,228.2,1,0
Maharashtra,Cotton,Rabi,Black,4,41.9,70.32,1.678,1337.7,764.6,74.96,17.1,290.1,0,1
Madhya Pradesh,Groundnut,Rabi,Red,3,3.21,9.38,2.921,907.2,701.1,29.39,32.9,81.4,1,0
Karnataka,Pulses,Zaid,Laterite,2,38.91,61.46,1.579,1014.9,777.1,30.61,28.2,355.5,0,1
West Bengal,Wheat,Rabi,Sandy,1,30.88,61.79,2.001,639.4,1009.0,-36.63,33.4,64.2,0,1
Tamil Nadu,Rice,Rabi,Sandy,1,3.94,4.97,1.26,1094.7,986.0,11.03,24.0,350.2,1,1
Tamil Nadu,Rice,Kharif,Alluvial,5,25.67,81.93,3.191,1132.8,959.6,18.05,35.5,59.7,1,0
Uttar Pradesh,Rice,Rabi,Black,4,4.58,23.06,5.033,925.4,1076.2,-14.01,19.5,103.7,0,0
Tamil Nadu,Sugarcane,Rabi,Alluvial,5,36.93,145.13,3.93,778.5,850.9,-8.51,24.3,330.1,1,0
Andhra Pradesh,Pulses,Zaid,Red,3,27.55,111.08,4.032,939.9,876.4,7.24,28.4,351.1,1,0
Tamil Nadu,Groundnut,Zaid,Laterite,2,47.7,95.54,2.003,393.6,551.1,-28.58,23.2,393.8,0,1
Karnataka,Wheat,Rabi,Sandy,1,9.57,26.01,2.719,1072.2,713.5,50.27,27.4,90.5,1,0
Uttar Pradesh,Pulses,Kharif,Black,4,30.5,159.39,5.226,587.7,926.7,-36.58,33.5,234.3,1,1
Karnataka,Jowar,Kharif,Sandy,1,10.97,15.79,1.439,730.4,980.2,-25.49,28.3,77.0,1,1
Karnataka,Cotton,Zaid,Alluvial,5,30.9,163.43,5.29,1129.4,656.1,72.14,24.9,104.7,1,0
Punjab,Maize,Rabi,Alluvial,5,36.27,123.99,3.418,1074.4,836.0,28.51,33.4,111.1,1,0
Uttar Pradesh,Pulses,Rabi,Laterite,2,36.25,188.0,5.186,394.7,1173.9,-66.38,29.1,72.2,0,1
Karnataka,Jowar,Kharif,Black,4,40.85,105.79,2.59,563.2,836.8,-32.7,26.0,362.5,1,1
Punjab,Wheat,Kharif,Black,4,42.75,115.18,2.694,960.0,1066.7,-10.0,25.5,94.2,1,0
Punjab,Maize,Kharif,Laterite,2,4.32,20.58,4.758,365.1,902.1,-59.52,23.8,270.3,1,1
Uttar Pradesh,Maize,Zaid,Alluvial,5,17.49,86.15,4.925,1154.8,934.2,23.62,31.1,269.0,0,0
Madhya Pradesh,Pulses,Rabi,Alluvial,5,34.51,74.14,2.148,829.5,713.6,16.24,31.3,119.5,1,0
West Bengal,Rice,Zaid,Alluvial,5,25.18,147.66,5.864,1153.2,608.7,89.47,33.6,399.4,1,0
Andhra Pradesh,Soybean,Rabi,Sandy,1,9.94,14.14,1.422,613.8,958.4,-35.96,28.6,171.6,1,1
West Bengal,Wheat,Zaid,Red,3,27.86,37.4,1.343,636.0,896.1,-29.03,22.7,366.8,1,1
Tamil Nadu,Rice,Rabi,Alluvial,5,20.67,82.21,3.978,1058.5,859.1,23.22,28.0,381.9,1,0
Andhra Pradesh,Wheat,Kharif,Red,3,19.81,91.38,4.614,725.9,650.9,11.52,22.6,382.1,0,0
Tamil Nadu,Soybean,Kharif,Red,3,40.58,235.56,5.804,489.8,796.5,-38.51,27.0,313.5,1,1
Karnataka,Cotton,Kharif,Black,4,20.68,62.54,3.025,940.4,757.5,24.14,34.5,138.8,0,0
Maharashtra,Soybean,Zaid,Laterite,2,1.81,2.04,1.126,401.9,772.2,-47.95,33.1,92.2,1,1
Uttar Pradesh,Bajra,Kharif,Sandy,1,3.37,13.55,4.014,1160.5,884.3,31.24,31.4,249.5,1,0
Andhra Pradesh,Pulses,Rabi,Red,3,42.88,105.0,2.448,846.1,955.9,-11.49,25.9,176.0,1,0
Andhra Pradesh,Pulses,Zaid,Sandy,1,48.05,152.06,3.165,577.6,892.9,-35.31,31.4,340.9,1,1
Karnataka,Jowar,Rabi,Black,4,34.58,119.02,3.442,1086.3,879.2,23.56,22.2,310.7,0,0
Madhya Pradesh,Rice,Zaid,Alluvial,5,18.54,24.52,1.323,1090.7,867.0,25.8,17.2,146.8,1,0
Punjab,Jowar,Rabi,Red,3,46.96,161.07,3.43,800.9,823.8,-2.77,27.6,56.0,1,0
Karnataka,Bajra,Rabi,Laterite,2,33.31,104.31,3.132,1368.9,725.4,88.7,23.7,133.1,1,0
Rajasthan,Soybean,Zaid,Black,4,42.29,192.98,4.563,1363.1,857.0,59.05,36.7,248.5,0,0
Punjab,Pulses,Zaid,Sandy,1,38.41,162.41,4.228,880.8,962.1,-8.45,35.8,77.6,1,0
Uttar Pradesh,Sugarcane,Kharif,Alluvial,5,19.27,37.11,1.926,1066.4,832.7,28.06,21.9,280.4,1,0
Punjab,Soybean,Kharif,Sandy,1,24.2,49.13,2.031,1127.2,711.9,58.33,30.2,285.1,0,0
Madhya Pradesh,Soybean,Rabi,Laterite,2,9.71,21.9,2.255,516.3,670.7,-23.02,14.2,109.3,1,1
Punjab,Bajra,Rabi,Red,3,14.95,28.34,1.895,871.7,706.9,23.3,28.0,258.7,1,0
Uttar Pradesh,Cotton,Rabi,Laterite,2,39.02,167.23,4.286,629.5,678.4,-7.21,27.9,262.4,0,0
Madhya Pradesh,Wheat,Zaid,Sandy,1,44.75,267.27,5.972,594.3,1283.7,-53.71,20.0,217.3,1,1
West Bengal,Bajra,Zaid,Sandy,1,36.36,154.92,4.261,830.4,718.3,15.6,27.0,383.6,0,0
Andhra Pradesh,Wheat,Kharif,Laterite,2,23.53,94.89,4.033,849.2,844.2,0.59,20.4,87.9,1,0
Andhra Pradesh,Pulses,Rabi,Laterite,2,4.78,14.58,3.05,397.0,837.0,-52.57,31.1,192.3,1,1
Tamil Nadu,Bajra,Kharif,Laterite,2,3.32,8.51,2.563,885.9,1062.0,-16.58,27.1,359.0,1,0
West Bengal,Wheat,Zaid,Alluvial,5,19.03,105.71,5.555,737.3,914.4,-19.37,35.0,185.2,0,0
West Bengal,Jowar,Zaid,Sandy,1,23.46,137.12,5.845,1149.5,913.7,25.81,16.8,198.6,0,0
